song_id,file_path,mean_arousal,mean_valence
2,datasets/DEAM/MEMD_audio/2.mp3,3.1,3.0
3,datasets/DEAM/MEMD_audio/3.mp3,3.5,3.3
4,datasets/DEAM/MEMD_audio/4.mp3,5.7,5.5
5,datasets/DEAM/MEMD_audio/5.mp3,4.4,5.3
7,datasets/DEAM/MEMD_audio/7.mp3,5.8,6.4
8,datasets/DEAM/MEMD_audio/8.mp3,3.2,4.8
10,datasets/DEAM/MEMD_audio/10.mp3,4.0,4.7
12,datasets/DEAM/MEMD_audio/12.mp3,5.5,5.8
13,datasets/DEAM/MEMD_audio/13.mp3,3.2,4.0
17,datasets/DEAM/MEMD_audio/17.mp3,4.4,6.0
18,datasets/DEAM/MEMD_audio/18.mp3,4.8,3.9
19,datasets/DEAM/MEMD_audio/19.mp3,5.9,4.3
20,datasets/DEAM/MEMD_audio/20.mp3,5.4,6.5
21,datasets/DEAM/MEMD_audio/21.mp3,6.6,6.3
22,datasets/DEAM/MEMD_audio/22.mp3,4.0,4.8
24,datasets/DEAM/MEMD_audio/24.mp3,5.3,3.9
25,datasets/DEAM/MEMD_audio/25.mp3,7.9,4.7
31,datasets/DEAM/MEMD_audio/31.mp3,4.7,3.8
32,datasets/DEAM/MEMD_audio/32.mp3,4.2,3.3
35,datasets/DEAM/MEMD_audio/35.mp3,4.8,6.5
37,datasets/DEAM/MEMD_audio/37.mp3,6.6,5.3
39,datasets/DEAM/MEMD_audio/39.mp3,7.3,5.4
40,datasets/DEAM/MEMD_audio/40.mp3,4.6,4.8
41,datasets/DEAM/MEMD_audio/41.mp3,4.3,5.1
42,datasets/DEAM/MEMD_audio/42.mp3,6.1,5.1
43,datasets/DEAM/MEMD_audio/43.mp3,6.7,3.5
44,datasets/DEAM/MEMD_audio/44.mp3,3.9,4.9
45,datasets/DEAM/MEMD_audio/45.mp3,5.1,2.1
46,datasets/DEAM/MEMD_audio/46.mp3,5.3,4.0
47,datasets/DEAM/MEMD_audio/47.mp3,4.4,4.4
48,datasets/DEAM/MEMD_audio/48.mp3,4.5,4.8
49,datasets/DEAM/MEMD_audio/49.mp3,3.9,5.3
50,datasets/DEAM/MEMD_audio/50.mp3,3.6,4.8
51,datasets/DEAM/MEMD_audio/51.mp3,3.6,3.2
52,datasets/DEAM/MEMD_audio/52.mp3,4.6,5.1
53,datasets/DEAM/MEMD_audio/53.mp3,4.3,5.1
54,datasets/DEAM/MEMD_audio/54.mp3,3.1,3.3
55,datasets/DEAM/MEMD_audio/55.mp3,5.8,5.4
56,datasets/DEAM/MEMD_audio/56.mp3,6.4,5.8
58,datasets/DEAM/MEMD_audio/58.mp3,3.3,3.4
59,datasets/DEAM/MEMD_audio/59.mp3,5.3,4.1
60,datasets/DEAM/MEMD_audio/60.mp3,4.3,6.4
